Deal Number,Investor Country 1 Alpha-2,Target Alpha-2,Target Country,Target Region,Investor 1,Investor 2,Investor 3,Investor Country 1,Investor Country 2,Investor Country 3,Investor Region 1,Investor Region 2,Investor Region 3,Inv. Sector 1,Inv. Sector 2,Inv. Sector 3,Crop 1,Crop 2,Crop 3,Year,Hectares
2,BD,BD,Bangladesh,South Asia,"Individual entrepreauner, industrialist, private companies etc.",,,Bangladesh,,,South Asia,,,Agriculture,,,Corn (Maize),Pulses,Rice,2010,24456
4,BD,BD,Bangladesh,South Asia,Individual entrepreuners: political leaders and business houses,,,Bangladesh,,,South Asia,,,Livestock,,,,,,2003,5000
11,VN,KH,Cambodia,South-East Asia,30/4 Gialani Company Limited,,,Viet Nam,,,South-East Asia,,,Agriculture,,,,,,2005,9380
13,CN,KH,Cambodia,South-East Asia,Agro Forestry Research,,,China,,,Eastern Asia,,,Agriculture,Forestry,,Accacia,,,2009,7000
16,KH,KH,Cambodia,South-East Asia,An Mardy Group,,,Cambodia,,,South-East Asia,,,Livestock,,,,,,2005,9863
17,TH,KH,Cambodia,South-East Asia,Angkor Sugar,,,Thailand,,,South-East Asia,,,Agriculture,,,Sugar Cane,,,2008,6523
19,VN,KH,Cambodia,South-East Asia,Bigimexco Sothy Aphivath,,,Viet Nam,,,South-East Asia,,,Agriculture,,,Rubber,,,,10603
20,KR,KH,Cambodia,South-East Asia,BNA (Cam) Corp,,,Republic of Korea,,,Eastern Asia,,,Agriculture,,,Cassava (Maniok),,,2009,7500
23,KR,KH,Cambodia,South-East Asia,"C.J Cambodia Co., Ltd",,,Republic of Korea,,,Eastern Asia,,,Agriculture,,,Cassava (Maniok),,,2001,5000
26,KH,KH,Cambodia,South-East Asia,"CAMLAND Co., Ltd.",,,Cambodia,,,South-East Asia,,,Agriculture,,,Oil Palm,,,2000,16000
27,IN,KH,Cambodia,South-East Asia,Carmadeno Venture (Cambodia) Limited,,,India,,,South Asia,,,Agriculture,,,Sugar Cane,,,2009,7635
29,US,KH,Cambodia,South-East Asia,Central First Company Limited,,,United States of America,,,Northern America,,,Agriculture,,,Rubber,,,2009,7000
30,CN,KH,Cambodia,South-East Asia,China National Corp for Overseas Economic Coop Laostar Dvpt,,,China,,,Eastern Asia,,,Agriculture,,,Corn (Maize),Rice,Vegetables,2000,8000
32,TH,KH,Cambodia,South-East Asia,Crystal Agro ltd,,,Thailand,,,South-East Asia,,,Agriculture,,,Cassava (Maniok),,,2006,8000
33,KH,KH,Cambodia,South-East Asia,CIV development company,,,Cambodia,,,South-East Asia,,,Agriculture,,,Cassava (Maniok),,,2008,769
34,KH,KH,Cambodia,South-East Asia,"Covyphama Co., Ltd",,,Cambodia,,,South-East Asia,,,Agriculture,,,Rubber,,,2008,5345
36,KH,KH,Cambodia,South-East Asia,D.T.C (Group),,,Cambodia,,,South-East Asia,,,Agriculture,,,Rubber,,,2009,4000
